# MEAN_SAMPLE_SIZE = 90438
# TOTAL_GENES = 18882
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE                                TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
BENPORATH_ES_WITH_H3K27ME3               SET    1022     0.072331     0.016366     0.029839    0.0076788 BENPORATH_ES_WITH_H3K27ME3
BENPORATH_MYC_MAX_TARGETS                SET     724     0.022587    0.0043374     0.029353      0.22081 BENPORATH_MYC_MAX_TARGETS
BENPORATH_MYC_TARGETS_WITH_E...          SET     209     0.024467    0.0025599     0.057039      0.33398 BENPORATH_MYC_TARGETS_WITH_EBOX
BENPORATH_NANOG_TARGETS                  SET     940     0.038474    0.0083682     0.027865     0.083692 BENPORATH_NANOG_TARGETS
BENPORATH_NOS_TARGETS                    SET     173    -0.024019   -0.0022886     0.065225      0.64365 BENPORATH_NOS_TARGETS
BENPORATH_OCT4_TARGETS                   SET     276    -0.069334   -0.0083213     0.051354       0.9115 BENPORATH_OCT4_TARGETS
BENPORATH_PRC2_TARGETS                   SET     587     0.081279     0.014107     0.039997     0.021076 BENPORATH_PRC2_TARGETS
BENPORATH_PROLIFERATION                  SET     145    -0.025272   -0.0022062     0.064989      0.65131 BENPORATH_PROLIFERATION
BENPORATH_SOX2_TARGETS                   SET     703     0.029094    0.0055085     0.031881      0.18073 BENPORATH_SOX2_TARGETS
BENPORATH_SUZ12_TARGETS                  SET     901     0.087028     0.018552     0.032008    0.0032782 BENPORATH_SUZ12_TARGETS
BERENJENO_ROCK_SIGNALING_NOT...1         SET      48      0.30591     0.015405      0.12365    0.0066858 BERENJENO_ROCK_SIGNALING_NOT_VIA_RHOA_DN
BERENJENO_ROCK_SIGNALING_NOT...2         SET      28     -0.11707   -0.0045048      0.15962      0.76834 BERENJENO_ROCK_SIGNALING_NOT_VIA_RHOA_UP
BERENJENO_TRANSFORMED_BY_RHO...1         SET     378     0.038536    0.0053977     0.043944      0.19027 BERENJENO_TRANSFORMED_BY_RHOA_DN
BERENJENO_TRANSFORMED_BY_RHO...2         SET      28     0.074327    0.0028602      0.16891      0.32996 BERENJENO_TRANSFORMED_BY_RHOA_FOREVER_DN
BERENJENO_TRANSFORMED_BY_RHO...3         SET      20      0.15736    0.0051189      0.19428      0.20898 BERENJENO_TRANSFORMED_BY_RHOA_FOREVER_UP
BERENJENO_TRANSFORMED_BY_RHO...4         SET      28    -0.092654   -0.0035654      0.17927      0.69736 BERENJENO_TRANSFORMED_BY_RHOA_REVERSIBLY_DN
BERENJENO_TRANSFORMED_BY_RHO...5         SET       8     -0.19074   -0.0039254      0.30371      0.73501 BERENJENO_TRANSFORMED_BY_RHOA_REVERSIBLY_UP
BERENJENO_TRANSFORMED_BY_RHO...6         SET     518    -0.011892   -0.0019425     0.035505      0.63116 BERENJENO_TRANSFORMED_BY_RHOA_UP
BERGER_MBD2_TARGETS                      SET       4     -0.59027   -0.0085906      0.47158      0.89465 BERGER_MBD2_TARGETS
BERNARD_PPAPDC1B_TARGETS_DN              SET      56    -0.077156   -0.0041957      0.11435      0.75007 BERNARD_PPAPDC1B_TARGETS_DN
BERNARD_PPAPDC1B_TARGETS_UP              SET      36     -0.13004    -0.005673      0.14273      0.81888 BERNARD_PPAPDC1B_TARGETS_UP
BERTUCCI_INVASIVE_CARCINOMA_...1         SET      43      0.14833    0.0070708      0.13107      0.12888 BERTUCCI_INVASIVE_CARCINOMA_DUCTAL_VS_LOBULAR_DN
BERTUCCI_INVASIVE_CARCINOMA_...2         SET      24      0.45049     0.016051      0.16892    0.0038307 BERTUCCI_INVASIVE_CARCINOMA_DUCTAL_VS_LOBULAR_UP
BERTUCCI_MEDULLARY_VS_DUCTAL...1         SET     162    -0.060502   -0.0055801     0.068361      0.81192 BERTUCCI_MEDULLARY_VS_DUCTAL_BREAST_CANCER_DN
